season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,101,0,day_type_01,weekday,2024/01/01 12:14:00+00,Montserrat,8,1,7,32,10871
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:45:00+00,Montserrat,8,0,52,104,10872
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:35:00+00,Beverly Farms,9,0,1,12,10873
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,113,0,day_type_01,weekday,2024/01/01 20:56:00+00,Manchester,10,1,10,33,10874
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,109,0,day_type_01,weekday,2024/01/01 17:49:00+00,Beverly Farms,8,0,0,34,10875
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,105,0,day_type_01,weekday,2024/01/01 14:43:00+00,Montserrat,7,1,2,21,10876
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2024/01/02 00:50:00+00,Beverly,7,0,18,9,10877
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,101,0,day_type_01,weekday,2024/01/01 12:20:00+00,Beverly Farms,9,0,5,27,10878
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:52:00+00,Beverly Farms,9,0,17,87,10879
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:41:00+00,Manchester,10,1,0,13,10880
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,113,0,day_type_01,weekday,2024/01/01 21:02:00+00,West Gloucester,11,0,1,32,10881
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,109,0,day_type_01,weekday,2024/01/01 17:55:00+00,Manchester,9,3,2,35,10882
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,105,0,day_type_01,weekday,2024/01/01 14:49:00+00,Beverly Farms,8,1,1,21,10883
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2024/01/02 00:54:00+00,Montserrat,8,0,3,6,10884
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,101,0,day_type_01,weekday,2024/01/01 12:26:00+00,Manchester,10,1,6,22,10885
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:58:00+00,Manchester,10,0,31,56,10886
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 23:04:00+00,West Gloucester,11,1,4,53,10887
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 23:12:00+00,Gloucester,12,2,34,21,10888
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 23:27:00+00,Rockport,13,0,21,0,10889
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 21:37:00+00,Rockport,1,19,0,19,10890
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 21:44:00+00,Gloucester,2,49,1,67,10891
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 21:50:00+00,West Gloucester,3,6,0,73,10892
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 21:57:00+00,Manchester,4,8,2,79,10893
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:03:00+00,Beverly Farms,5,7,0,86,10894
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:09:00+00,Montserrat,6,44,0,130,10895
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:14:00+00,Beverly,7,125,8,247,10896
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:18:00+00,Salem,8,117,121,243,10897
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:25:00+00,Swampscott,9,33,9,267,10898
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:28:00+00,Lynn,10,11,16,262,10899
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:31:00+00,River Works,11,6,0,268,10900
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:38:00+00,Chelsea,12,5,7,266,10901
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,118,1,day_type_01,weekday,2024/01/01 22:56:00+00,North Station,13,0,266,0,10902
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:05:00+00,North Station,1,290,0,290,10903
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:16:00+00,Chelsea,2,5,11,284,10904
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:25:00+00,Lynn,3,0,0,284,10905
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:28:00+00,Swampscott,4,0,57,227,10906
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:35:00+00,Salem,5,2,80,149,10907
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:39:00+00,Beverly,6,0,64,85,10908
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,119,0,day_type_01,weekday,2024/01/01 23:43:00+00,Montserrat,7,0,20,65,10909
